Codice          |Cod.commerciale   |Descrizione                             |Costruttore |Descrizione supplementare
HHBOX0_BX017    |GW44219           |SCATOLA PLASTICA 300X220X180            |GEWISS      |

HHBOX0_BX018    |KL1523            |SCATOLA INOX 200X200X80                 |RITTAL      |

HHBOX0_BX019    |KL1522            |SCATOLA INOX 300X150X80                 |RITTAL      |

HHBOX0_BX020    |3HE-42TE          |CONTENITORE SERIE 2000/3HE-42TE CON OPZ.|CEPIRACK    |

HHBOX0_BX021    |013010010         |PULSANTIERA INOX 1 POSTO AP 99          |IRINOX      |90X90X90

HHBOX0_BX022    |AP 25 20          |PULSANTIERA INOX 12 POSTI 250X200X130   |IRINOX      |

HHBOX0_BX023    |STB3 951389       |SCATOLA INOX AISI 316 190X190X100       |WEIDMULLER  |

HHBOX0_BX024    |STB4 951392       |SCATOLA INOX AISI 316 250X250X120       |WEIDMULLER  |

HHBOX0_BX025    |080               |PULSANTIERA ALLUMINIO 6 POSTI 190X80    |CEMA        |

HHBOX0_BX026    |GW44618           |PIASTRA FONDO ZINC. 380X300 PER GW44210 |WEIDMULLER  |

HHBOX0_BX027    |GW44628           |PIASTRA FONDO ISOL. 380X300 PER GW44210 |WEIDMULLER  |

HHBOX0_BX028    |013020110         |CASSETTA DERIVAZIONE INOX APD 3030      |IRINOX      |300X300X150

HHBOX0_BX029    |013020050         |CASSETTA DERIVAZIONE INOX APD 1616      |IRINOX      |160X160X110

HHBOX0_BX030    |APD442513         |SCATOLA INOX 440X250X130                |IRINOX      |

HHBOX0_BX031    |013020120         |CASSETTA DERIVAZIONE INOX APD 3040      |IRINOX      |400X300X150

HHBOX0_BX032    |013020090         |CASSETTA DERIVAZIONE INOX APD 2525      |IRINOX      |250X250X130

HHBOX0_BX033    |013020060         |CASSETTA DERIVAZIONE INOX APD 2020      |IRINOX      |200X200X110

HHBOX0_BX034    |E 1809/B/BLU      |SCATOLA DI DERIVAZIONE EEX 180X90X120   |PEPPERL & FU|

HHBOX0_BX035    |ALUKOM AK122      |SCAT.DI DERIVAZ.IN ALLUMINIO 220X120X80 |ROLEC       |

HHBOX0_BX036    |971317301001      |CASSETTA DERIVAZIONE INOX APD 403012    |IRINOX      |400X300X120

HHBOX0_BX037    |97605701004       |CASSETTA DERIVAZIONE INOX APD 553012    |IRINOX      |550X300X120

HHBOX0_BX038    |APD4030 INOX316   |SCATOLA INOX 400X300X150 INOX 316       |IRINOX      |

HHBOX0_BX039    |013110590         |CASSA INOX EKO 304521                   |IRINOX      |300X450X210

HHBOX0_BX040    |013110660         |CASSA INOX EKO 454521                   |IRINOX      |450X450X210

HHBOX0_BX041    |013110750         |CASSA INOX EKO 604525                   |IRINOX      |600X450X250

HHBOX0_BX042    |AP 16 16          |PULSANTIERA INOX 4 POSTI 160X160X110    |IRINOX      |

HHBOX0_BX043    |013020115         |CASSETTA DERIVAZIONE INOX APD 2040      |IRINOX      |200X400X150

HHBOX0_BX044    |013020100         |CASSETTA DERIVAZIONE INOX APD 2030      |IRINOX      |200X300X130

HHBOX0_BX045    |504-748           |CONTEN.PLASTICO CON MANIGLIA INCLINABILE|R.S.        |

HHBOX0_BX046    |504-798           |MANIGLIA PER CONTENITORE PLASTICO       |R.S.        |

HHBOX0_BX047    |583-741           |PIASTRA DI TELAIO PER MONTAGGIO ALIMENT.|R.S.        |

HHBOX0_BX048    |PDX4.40.20        |CASSETTA INOX 400X400X200               |CEB         |

HHBOX0_BX049    |013010030         |PULSANTIERA INOX AP 920 3 POSTI         |IRINOX      |

HHBOX0_BX050    |013110790         |CASSA INOX EKO 607525                   |IRINOX      |600X750X250

HHBOX0_BX051    |013110830         |CASSA INOX EKO 609030                   |IRINOX      |600X900X300

HHBOX0_BX052    |013110720         |CASSA INOX EKO 505030                   |IRINOX      |500X500X300

HHBOX0_BX053    |013110900         |CASSA INOX EKO 767630                   |IRINOX      |760X760X300

HHBOX0_BX054    |APD3030 AISI316   |SCATOLA INOX 300X300X150 IN AISI 316    |IRINOX      |

HHBOX0_BX055    |971317301004      |CASSETTA DERIVAZIONE APD 1616 A316L     |IRINOX      |160X160X110 AISI 316

HHBOX0_BX056    |971317303002      |CASSA INOX EKO 454521 316L              |IRINOX      |450X450X210 AISI 316

HHBOX0_BX057    |013110730         |CASSA INOX EKO 507025                   |IRINOX      |500X700X250

HHBOX0_BX058    |013020070         |CASSETTA DERIVAZIONE INOX APD 1625      |IRINOX      |160X250X110

HHBOX0_BX059    |013110880         |CASSA INOX  EKO 756025                  |IRINOX      |750X600X250

HHBOX0_BX060    |1559.010          |SCATOLA INOX L=600 H=200 P=123          |RITTAL      |

HHBOX0_BX061    |013110700         |CASSA INOX EKO 456040                   |IRINOX      |450X600X400

HHBOX0_BX062    |BG 1559.010       |SCATOLA ACCIAIO INOX 600X200X123        |RITTAL      |

HHBOX0_BX065    |04841             |SCATOLA PLASTICA 100X100X50             |BOCCHIOTTI  |

HHBOX0_BX066    |04844             |SCATOLA PLASTICA 190X140X70             |BOCCHIOTTI  |

HHBOX0_BX067    |04845             |SCATOLA PLASTICA 240X190X90             |BOCCHIOTTI  |

HHBOX0_BX068    |04846             |SCATOLA PLASTICA 300X220X120            |BOCCHIOTTI  |

HHBOX0_BX069    |04847             |SCATOLA PLASTICA 380X300X120            |BOCCHIOTTI  |

HHBOX0_BX070    |EKO 75 100 30     |CASSETTA INOX L=750 H=1000 P=300        |IRINOX      |CODICE ORDINE 013070290

HHBOX0_BX071    |EKO 45 60 30      |CASSETTA SORTER INOX L=450 H=600 P=300  |IRINOX      |

HHBOX0_BX072    |PEC03             |PULSANTIERE INOX 3 POSTI 80X140X        |ILINOX      |

HHBOX0_BX073    |237-4347          |CONTENITORE IN ABS NERO 64X89X29        |R.S.        |

HHBOX0_BX074    |GW66741           |CASSETTA DA PARETE CON COPERCHIO 2 POSTI|GEWISS      |FLANGIATO PER PRESE IEC309 GEWISS

HHBOX0_BX075    |APD 16 25         |SCATOLA INOX 160X250X110 INOX 316       |IRINOX      |

HHBOX0_BX076    |013020010         |CASSETTA DERIVAZIONE INOX APD 99        |IRINOX      |90X90X90

HHBOX0_BX077    |013110710         |CASSA INOX EKO 505021                   |IRINOX      |500X500X210

HHBOX0_BX078    |013110570         |CASSA INOX EKO 303021                   |IRINOX      |300X300X210

HHBOX0_BX079    |EKO 60 60 25      |CASSETTA INOX L=600 H=600 P=250         |IRINOX      |CODICE ORDINE 013110770

HHBOX0_BX080    |EKO 60 60 40      |CASSETTA INOX L=600 H=600 P=400         |IRINOX      |CODICE ORDINE 013110780

